,0,1
obj,,0.24293574518326158
mu,,0.4
available_substrate,,-22.133812526547548
uptake,,5.186394122431926
r_0001,,0.0
r_0002,,0.0
r_0003,,-9.999999974752427e-06
r_0004,,0.0
r_0005,,0.29940598573341504
r_0006,,0.10003666179488846
r_0007,,0.03318604241780529
r_0012,,0.0
r_0013,,0.0
r_0014,,0.0003999999999995225
r_0015,,0.0003999999999995225
r_0016,,0.1031576670894303
r_0017,,0.0
r_0018,,0.11465855484782446
r_0019,,0.0
r_0020,,0.12862114930700608
r_0021,,0.0
r_0022,,0.0
r_0023,,-0.14538078810844934
r_0024,,0.0
r_0025,,0.14538078810844932
r_0026,,0.0
r_0027,,0.11465855484782447
r_0028,,1.9999999998354667e-06
r_0029,,0.14538078810844934
r_0030,,0.0
r_0032,,0.03873450738437019
r_0033,,0.0
r_0034,,0.0
r_0035,,0.0
r_0036,,0.0
r_0037,,0.0
r_0038,,0.000799999999999045
r_0039,,0.12862114930700608
r_0040,,0.12862114930700608
r_0041,,0.0
r_0042,,0.0
r_0043,,0.0
r_0044,,0.0
r_0045,,0.0024279999997588453
r_0057,,0.0
r_0058,,0.0024279999997588453
r_0059,,0.0
r_0060,,-0.14538078810844934
r_0061,,0.14538078810844934
r_0062,,0.0
r_0063,,0.0
r_0064,,0.0
r_0065,,0.12862114930700608
r_0066,,2.535999999592241e-05
r_0067,,2.535999999592241e-05
r_0068,,4.79999999999427e-07
r_0069,,0.0
r_0070,,0.0
r_0072,,0.0
r_0073,,0.0
r_0074,,0.0
r_0075,,0.0
r_0076,,0.0
r_0077,,0.0
r_0078,,0.0
r_0079,,0.06793219874359366
r_0080,,0.08448383924684896
r_0081,,3.1999998100218363e-06
r_0082,,0.0
r_0083,,0.0
r_0084,,0.0
r_0085,,0.0
r_0086,,0.0
r_0087,,0.0
r_0088,,0.0
r_0089,,0.0
r_0090,,0.0
r_0091,,2.380638229915887
r_0092,,0.0
r_0093,,0.0
r_0094,,0.0
r_0095,,0.0
r_0096,,0.2661019637646609
r_0097,,0.2661019637646609
r_0099,,0.0
r_0100,,0.0
r_0101,,0.0
r_0102,,0.0
r_0103,,0.0
r_0104,,0.08960192097481467
r_0105,,0.0
r_0106,,0.0
r_0107,,0.0
r_0108,,0.0
r_0109,,0.4735872731401403
r_0111,,0.0
r_0112,,0.6700674402839581
r_0113,,0.0
r_0114,,0.0
r_0115,,0.072038233561416
r_0116,,0.0
r_0117,,1.9999999949504854e-06
r_0118,,0.072038233561416
r_0119,,0.0
r_0120,,0.0
r_0121,,0.0
r_0122,,0.0
r_0123,,0.0
r_0124,,0.0
r_0125,,0.0
r_0126,,0.0
r_0127,,0.0
r_0128,,0.0
r_0129,,0.0
r_0130,,0.0
r_0131,,0.0
r_0132,,0.004300293396510357
r_0133,,0.0
r_0134,,0.0
r_0135,,0.0
r_0137,,0.0
r_0138,,0.0
r_0139,,0.0
r_0140,,0.0
r_0142,,0.05652657056793175
r_0143,,0.0
r_0144,,0.05652657056793175
r_0145,,0.0
r_0146,,0.0
r_0147,,0.0
r_0148,,3.38334459901695
r_0149,,0.0
r_0150,,0.0
r_0151,,0.06793171874359366
r_0152,,0.07089661233564429
r_0153,,0.07089661233564429
r_0154,,0.03873450738437019
r_0155,,0.0
r_0156,,0.8014155944618476
r_0158,,0.0
r_0159,,0.0
r_0160,,0.0
r_0161,,0.0
r_0162,,0.0
r_0163,,0.0
r_0164,,0.0
r_0165,,0.3383049636114924
r_0166,,0.0
r_0167,,0.0
r_0168,,0.0
r_0169,,0.0
r_0170,,0.0
r_0171,,0.0
r_0172,,0.0
r_0173,,0.5390260245152656
r_0174,,0.0
r_0175,,0.0
r_0176,,0.0
r_0177,,0.0
r_0178,,0.0
r_0179,,0.0
r_0180,,0.0
r_0181,,0.0
r_0182,,0.0
r_0183,,0.0
r_0184,,0.0
r_0185,,0.0
r_0186,,0.0
r_0187,,0.0
r_0188,,2.535999999592241e-05
r_0189,,0.0
r_0190,,0.0
r_0191,,0.0
r_0192,,0.0
r_0193,,0.0
r_0194,,0.0
r_0195,,0.05531028483483169
r_0198,,0.0
r_0199,,0.0
r_0200,,0.0
r_0201,,0.0
r_0202,,0.017851589117942716
r_0203,,0.017851589117942716
r_0204,,0.0
r_0205,,0.0
r_0206,,0.0
r_0207,,0.072038233561416
r_0208,,0.072038233561416
r_0210,,0.0
r_0211,,0.042564324240163404
r_0213,,0.0
r_0214,,0.06749515700819675
r_0215,,0.22362567508951317
r_0216,,-0.7096991260640557
r_0217,,0.0
r_0218,,0.0
r_0219,,0.22362567508951317
r_0221,,0.0
r_0222,,0.0
r_0223,,0.0
r_0224,,0.0
r_0225,,0.03318604241780529
r_0226,,30.901816078752052
r_0227,,0.0
r_0228,,0.0
r_0229,,0.0
r_0230,,0.0
r_0231,,0.01493345349581432
r_0233,,0.0
r_0234,,0.01493345349581432
r_0235,,0.01493345349581432
r_0236,,0.01493345349581432
r_0237,,0.01493345349581432
r_0238,,0.01493345349581432
r_0239,,0.01493345349581432
r_0240,,0.01493345349581432
r_0241,,0.01493345349581432
r_0242,,0.0
r_0243,,0.0
r_0244,,0.01493345349581432
r_0249,,0.0
r_0250,,0.13953339056961275
r_0252,,0.0
r_0253,,0.0
r_0254,,0.0
r_0255,,0.0
r_0256,,0.0
r_0259,,0.0
r_0260,,0.0
r_0261,,0.0
r_0262,,0.0
r_0263,,0.0
r_0264,,0.0
r_0265,,0.0
r_0266,,0.0
r_0267,,0.0
r_0268,,0.0
r_0269,,0.0
r_0270,,0.0
r_0271,,0.0
r_0272,,0.0
r_0273,,0.0019406573649399543
r_0274,,0.0019406573649399543
r_0278,,0.11074420018906744
r_0279,,0.12862114930700608
r_0280,,0.06431057882960024
r_0281,,0.0
r_0282,,0.0
r_0283,,0.0
r_0284,,0.0
r_0285,,0.0
r_0286,,0.0
r_0287,,0.0
r_0288,,0.0
r_0289,,0.0
r_0290,,0.0
r_0291,,0.0
r_0292,,0.0
r_0293,,0.0
r_0294,,0.0
r_0295,,0.0
r_0296,,0.0
r_0297,,0.0
r_0298,,0.0
